LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000680389-0001-7,MARIA N GARCIA,LA COSTENA,271 S MAIN STREET,LOS ANGELES,271 MAIN 90012-3707,4816 W 111TH STREET,INGLEWOOD,90304-2133,722110,Full-service restaurants,14,04/16/2002,,"(34.05, -118.2453)"
0002092426-0001-7,"QUALITY VNZ, LLC",BIG MAMAS & PAPAS PIZZERIA,657 S FLOWER STREET,LOS ANGELES,657 FLOWER 90017-2805,,,,722110,Full-service restaurants,14,02/01/2006,,"(34.049, -118.2584)"
0000649093-0002-7,MCDONALDS RESTAURANTS OF CA INC,MCDONALDS #5562,14024 OSBORNE STREET,ARLETA,14024 OSBORNE 91331-6025,POST OFFICE BOX #183090,COLUMBUS,43218-3090,722110,Full-service restaurants,6,02/01/1963,,"(34.2332, -118.4381)"
0002337667-0001-7,THAO M NGUYEN,,12905 SHERMAN WAY,NORTH HOLLYWOOD,12905 SHERMAN 91605-4954,,,,722110,Full-service restaurants,2,05/01/2008,,"(34.2012, -118.4139)"
0000195355-0016-1,PANDA EXPRESS INC,PANDA EXPRESS #275,14561 VENTURA BLVD,SHERMAN OAKS,14561 VENTURA 91403-3772,1683 WALNUT GROVE AVENUE,ROSEMEAD,91770-3711,722110,Full-service restaurants,4,08/15/1994,,"(34.1511, -118.4501)"
0000267488-0001-7,SUNGIR INC,CARLS JR RESTAURANT #7384,19400 VENTURA BLVD,TARZANA,19400 VENTURA 91356-3031,1 CENTERPOINTE DRIVE SUITE #400,LA PALMA,90623-2530,722110,Full-service restaurants,3,11/27/2000,,"(34.1727, -118.5556)"
0000558001-0001-1,CHOSUN GALBEE RESTAURANT INC,,3330 W OLYMPIC BLVD,LOS ANGELES,3330 OLYMPIC 90019-2320,3330 W OLYMPIC BLVD,LOS ANGELES,90019-2320,722110,Full-service restaurants,10,10/01/2001,,"(34.0526, -118.3101)"
0002689115-0001-1,RAFI HOVAGIMIAN/ ARA DIKRAN,TERRACE RESTAURANT & LOUNGE,17239 VENTURA BLVD,ENCINO,17239 VENTURA 91316-4007,,,,722110,Full-service restaurants,5,06/26/2013,,"(34.1606, -118.5084)"
0000989890-0003-9,TIGER BANG,BUL RO CHO HAN BANG BO YANG TANG,955 S VERMONT AVENUE UNIT #E,LOS ANGELES,955 VERMONT 90006-1647,,,,722110,Full-service restaurants,10,06/01/2007,,"(34.054, -118.2916)"
0003060399-0001-9,MAE PLOY INVESTMENTS LLC,DONUT FARM,2606 W SUNSET BLVD,LOS ANGELES,2606 SUNSET 90026,1442   WALNUT STREET   #64,BERKELEY,94709-1405,722110,Full-service restaurants,13,06/06/2018,,"(34.0799, -118.27)"
0002789669-0001-4,CAFE GRATITUDE ARTS DISTRICT LLC,,300 S SANTA FE AVENUE SUITE #A,LOS ANGELES,300 SANTA FE 90013-1812,8733 W SUNSET BLVD SUITE #205,LOS ANGELES,90069-2244,722110,Full-service restaurants,14,02/01/2015,,"(34.0459, -118.2326)"
0000814301-0001-7,KAM SHUN LAU/CHE CHEUK WONG,GOLDEN CITY BBQ RESTAURANT,960 N HILL STREET,LOS ANGELES,960 HILL 90012-1758,,,,722110,Full-service restaurants,1,06/21/1990,,"(34.0661, -118.2378)"
0002632851-0001-2,AY-DO-NO INC,AY-DO-NO KOREAN BBQ,5911 HOLLYWOOD BLVD,LOS ANGELES,5911 HOLLYWOOD 90028-5409,,,,722110,Full-service restaurants,13,08/01/2012,,"(34.1016, -118.3181)"
0000412664-0001-1,RAUL ORTEGA,MARISCOS JALISCO,3024 SUSSEX LANE,LOS ANGELES,3024 SUSSEX 90023-2717,,,,722110,Full-service restaurants,14,12/29/2003,,"(34.0232, -118.2161)"
0000226257-0001-2,ZINA COFFEE COMPANY INC,THE COFFEE CO,8751 LA TIJERA BLVD,LOS ANGELES,8751 LA TIJERA 90045-3906,,,,722110,Full-service restaurants,11,09/08/1993,,"(33.9575, -118.3941)"
0002475148-0001-0,HMR 4 804 LLC,CARL'S JR #804,1001 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,1001 MARTIN LUTHER KING JR 90037-1816,1308 VIA MARGARITA,PALOS VERDES ESTATES,90274-2027,722110,Full-service restaurants,9,01/01/2009,,"(34.0108, -118.2915)"
0000239637-0004-1,EL POLLO LOCO INC,EL POLLO LOCO #5349,408 E WASHINGTON BLVD,LOS ANGELES,408 WASHINGTON 90015-3721,3535 HARBOR BLVD SUITE #100,COSTA MESA,92626-1494,722110,Full-service restaurants,9,06/01/1985,,"(34.0294, -118.2612)"
0002986167-0001-3,RAKKAN USA INC.,RAKKAN,359 E 1ST STREET,LOS ANGELES,359 1ST 90012-3901,359 E 1ST STREET,LOS ANGELES,90012-3901,722110,Full-service restaurants,14,07/01/2017,,"(34.0495, -118.2395)"
0000011210-0004-7,KING TACO RESTAURANT INC,KING TACO #8,2904 N BROADWAY,LOS ANGELES,2904 BROADWAY 90031-2601,6055 E WASHINGTON BLVD SUITE #700,COMMERCE,90040-2428,722110,Full-service restaurants,1,06/08/1982,,"(34.0737, -118.2116)"
0000239637-0023-7,EL POLLO LOCO INC,#5915,9522 SEPULVEDA BLVD,NORTH HILLS,9522 SEPULVEDA 91343-3306,3535 HARBOR BLVD SUITE #100,COSTA MESA,92626-1494,722110,Full-service restaurants,7,09/19/1997,,"(34.2431, -118.4673)"
0000407945-0001-2,YOSHIMITSU/HELEN KIKUCHI,SENFUKU RESTAURANT,380 W 6TH STREET,SAN PEDRO,380 6TH 90731-3338,,,,722110,Full-service restaurants,15,12/03/1982,,"(33.7387, -118.2852)"
0000705752-0005-1,SCO LLC,SHAKEYS PIZZA #17,5170 W SUNSET BLVD #17,LOS ANGELES,5170 SUNSET 90027-5708,2200 W VALLEY BLVD,ALHAMBRA,91803-1928,722110,Full-service restaurants,13,06/01/1977,,"(34.0981, -118.3028)"
0002853980-0001-8,AFFAIR LLC,,11819 WILSHIRE BLVD #103,LOS ANGELES,11819 WILSHIRE 90025-6627,,,,722110,Full-service restaurants,11,09/10/2015,,"(34.0479, -118.4627)"
0000814676-0001-0,P & R PIZZA MART INC,2 FOR 1 PIZZA,21608 ROSCOE BLVD,CANOGA PARK,21608 ROSCOE 91304,,,,722110,Full-service restaurants,3,06/15/1996,,"(34.2197, -118.6003)"
0002555280-0001-9,KHIEN CHHUON,NEW KAMARA RESTAURANT,709 N HILL STREET SUITE #14,LOS ANGELES,709 HILL 90012-2352,,,,722110,Full-service restaurants,1,04/16/2011,,"(34.061, -118.2403)"
0003050115-0002-7,RHS USA INC,ROCK HOUSE SLIDERS,10250   SANTA MONICA BLVD,LOS ANGELES,10250 SANTA MONICA 90067-6501,23622   CALABASAS ROAD   SUITE #331,CALABASAS,91302-1594,722110,Full-service restaurants,5,02/27/2019,,"(34.06, -118.4198)"
0000893379-0002-1,MARLENE SINCLAIR-BECKFORD / DELROY BECKFORD,ADASSA'S ISLAND CAFE & ENTERTAINMENT,4305 DEGNAN BLVD SUITE #103,LOS ANGELES,4305 DEGNAN 90008-4949,3817 ARLINGTON AVENUE,LOS ANGELES,90008-1914,722110,Full-service restaurants,10,05/15/2009,,"(34.0058, -118.3314)"
0000054319-0010-8,IN-N-OUT BURGERS A CALIFORNIA CORPORATION,IN-N-OUT BURGER #111,3640 CAHUENGA BLVD W,LOS ANGELES,3640 CAHUENGA 90068-1206,4199 CAMPUS DRIVE FLOOR #9TH,IRVINE,92612-8604,722110,Full-service restaurants,4,12/27/1995,,"(34.1345, -118.3599)"
0003023635-0001-0,JOSE A TAX GARCIA,B'KOAH CAFE & BAKERY,6009 W 3RD STREET,LOS ANGELES,6009 3RD 90036-3141,,,,722110,Full-service restaurants,5,01/15/2018,,"(34.0703, -118.3518)"
0000188910-0001-1,"TACO PLUS NATIONAL, INC",TACO PLUS,1525 S BUNDY DRIVE,LOS ANGELES,1525 BUNDY 90025-2603,,,,722110,Full-service restaurants,11,11/04/1996,,"(34.0399, -118.4625)"
0000983860-0003-4,LEVY PREMIUM FOOD SERVICE LP,LEVY RESTAURANTS AT CATHEDRAL OF OUR LADY OF ANGELS,555 W TEMPLE STREET,LOS ANGELES,555 TEMPLE 90012-2707,,,,722110,Full-service restaurants,14,09/02/2002,,"(34.058, -118.2463)"
0002567260-0001-2,LOTUS VEGAN LLC,LOTUS VEGAN THAI RESTAURANT,4715 LANKERSHIM BLVD,NORTH HOLLYWOOD,4715 LANKERSHIM 91602-1803,,,,722110,Full-service restaurants,2,06/28/2011,,"(34.156, -118.3692)"
0002730158-0001-8,MEYCHINH CHANN,PANDA KING CHINESE FOOD,4310 S CENTRAL AVENUE,LOS ANGELES,4310 CENTRAL 90011-3525,,,,722110,Full-service restaurants,9,01/01/2014,,"(34.0055, -118.2564)"
0000267458-0026-1,"SENIOR CLASSIC LEASING, LLC",CARLS JR RESTAURANT#7359,18756 SHERMAN WAY,RESEDA,18756 SHERMAN 91335-4040,1 CENTERPOINTE DRIVE SUITE #400,LA PALMA,90623-2530,722110,Full-service restaurants,3,11/27/2000,,"(34.201, -118.5418)"
0002561575-0001-0,LE CELLIER INC,,417 WASHINGTON BLVD,MARINA DEL REY,417 WASHINGTON 90292-5213,,,,722110,Full-service restaurants,11,05/23/2011,,"(33.9813, -118.463)"
0002603928-0001-0,CHUN ZI KUK,WESTERN SOON DAE USA,543 S WESTERN AVENUE,LOS ANGELES,543 WESTERN 90020-4207,,,,722110,Full-service restaurants,10,10/01/2011,,"(34.0645, -118.3091)"
0002792600-0001-7,BARUCH HASHEM INC,,5445 HOLLYWOOD BLVD SUITE #B,LOS ANGELES,5445 HOLLYWOOD 90027-3466,1260 N GARDNER STREET,WEST HOLLYWOOD,90046-5616,722110,Full-service restaurants,13,01/01/2015,,"(34.1017, -118.3081)"
0002837651-0001-3,CREATIVE CONCEPTS DINING,,6060 W MANCHESTER AVENUE SUITE #304,LOS ANGELES,6060 MANCHESTER 90045-4267,6060 W MANCHESTER AVENUE SUITE #304,LOS ANGELES,90045-4267,722110,Full-service restaurants,11,03/02/2015,,"(33.9598, -118.391)"
0000802543-0001-6,FOODLAND CHINESE FAST FOOD LLC,FOODLAND,739 S UNION AVENUE,LOS ANGELES,739 UNION 90017-2115,,,,722110,Full-service restaurants,1,03/01/1998,,"(34.053, -118.2717)"
0000520573-0001-9,NEW MILLENNIUM PRIVATE LIMITED CORP,SUBWAY SANDWICHES # 25913,10597 W PICO BLVD,LOS ANGELES,10597 PICO 90064-2333,8502 W 3RD STREET,LOS ANGELES,90048-4114,722110,Full-service restaurants,5,06/15/2004,,"(34.0435, -118.4218)"
0000147584-0001-9,SEUNG TAE LEE / HYUN SOOK LEE,NIBBLE NOOK COFFEE SHOP,16530 VENTURA BLVD #103,ENCINO,16530 VENTURA 91436-4584,,,,722110,Full-service restaurants,5,06/19/2000,,"(34.1576, -118.493)"
0000071427-0001-2,OCHA CLASSIC CORPORATION,OCHA CLASSIC RESTAURANT #3,3914 W 3RD STREET,LOS ANGELES,3914 3RD 90020-2610,820 S NEW HAMPSHIRE AVENUE #102,LOS ANGELES,90005-1829,722110,Full-service restaurants,10,09/01/2001,,"(34.069, -118.2993)"
0000479775-0001-6,THE POULOS CORP,PANNS RESTAURANT,6710 LA TIJERA BLVD,LOS ANGELES,6710 LA TIJERA 90045-2018,,,,722110,Full-service restaurants,11,02/01/1958,,"(33.9784, -118.3704)"
0000759202-0001-0,MINORU/SETSUKO MOTOYAMA,RESTAURANT KOMASA,351 E 2ND STREET,LOS ANGELES,351 2ND 90012-4215,,,,722110,Full-service restaurants,14,12/01/1989,,"(34.0485, -118.2405)"
0003080878-0001-1,WING KONG TRADING CO,NIGHTSHADE,923   3RD AVENUE   SUITE #109,LOS ANGELES,923 3RD 90019-2002,,,,722110,Full-service restaurants,4,10/01/2018,,"(34.055, -118.3169)"
0000086870-0001-4,RAFAEL A HERNANDEZ,CENTINELA CAFE,4800 S CENTINELA AVENUE,LOS ANGELES,4800 CENTINELA 90066-6800,,,,722110,Full-service restaurants,11,01/01/1994,,"(33.9896, -118.4191)"
0002758074-0001-0,JUSTIN L DUJDUMRONGWOOD,BORAN THAI RESTAURANT,5401 HOLLYWOOD BLVD,LOS ANGELES,5401 HOLLYWOOD 90027-3405,,,,722110,Full-service restaurants,13,04/01/2014,,"(34.1017, -118.3072)"
0000285139-0001-7,TACOS 2000 INC,TACO BELL #3074,7545 FALLBROOK AVENUE,CANOGA PARK,7545 FALLBROOK 91307-1504,14431 VENTURA BLVD #263,SHERMAN OAKS,91423-2606,722110,Full-service restaurants,12,11/01/1999,,"(34.2074, -118.6234)"
0002394782-0001-6,"RUSSIAN DACHA CAFE, INC",,5338 LAUREL CANYON BLVD,VALLEY VILLAGE,5338 LAUREL CANYON 91607-2712,,,,722110,Full-service restaurants,5,10/17/2008,,"(34.1673, -118.3965)"
0002587852-0001-0,DIONICIO ARELLANO RODRIGUEZ / PATRICIA RODRIGUEZ SERRANO,LA CEMITA POBLANA,1114 FIRESTONE BLVD,LOS ANGELES,1114 FIRESTONE 90001-3737,,,,722110,Full-service restaurants,0,10/17/2011,,"(33.9601, -118.2558)"
0000033499-0001-6,MANUEL MARTINEZ,RESTAURANT EL CHALATECO,3333 N EASTERN AVENUE,LOS ANGELES,3333 EASTERN 90032-1931,,,,722110,Full-service restaurants,14,07/01/2000,,"(34.0845, -118.178)"
0000645077-0001-1,MI POLLO INC,EL POLLO LOCO,1545 S WESTERN AVENUE,LOS ANGELES,1545 WESTERN 90006-4233,5050 KANAN ROAD,AGOURA HILLS,91301-2516,722110,Full-service restaurants,10,04/28/1988,,"(34.0443, -118.309)"
0000239637-0016-4,EL POLLO LOCO INC,EL POLLO LOCO #5534,3070 N SAN FERNANDO ROAD,LOS ANGELES,3070 SAN FERNANDO 90065-1425,3535 HARBOR BLVD SUITE #100,COSTA MESA,92626-1494,722110,Full-service restaurants,13,01/19/1989,,"(34.1145, -118.2455)"
0000577401-0001-9,FLIX ENTERTAINMENT GROUP LLC,CINESPACE,6356 HOLLYWOOD BLVD #2NDFL,LOS ANGELES,6356 HOLLYWOOD 90028-6309,,,,722110,Full-service restaurants,13,11/26/2001,,"(34.1016, -118.3283)"
0000518597-0001-6,MAHAMD A ROSHAN,JERRYS PIZZA,22035 SHERMAN WAY,CANOGA PARK,22035 SHERMAN 91303-1852,,,,722110,Full-service restaurants,3,05/08/1986,,"(34.201, -118.6067)"
0000457143-0001-0,NIHON SEIBUTSU KAGAKU CENTER INC,CHO SHO SAN,19010 VENTURA BLVD,TARZANA,19010 VENTURA 91356-3214,601 IRVING DRIVE,THOUSAND OAKS,91360-6038,722110,Full-service restaurants,3,06/07/1983,,"(34.1725, -118.5475)"
0000983928-0001-8,NERSES MAKHTESYAN,TMA STAR PIZZA & SUB,6365 WOODMAN AVENUE,VAN NUYS,6365 WOODMAN 91401-2346,,,,722110,Full-service restaurants,2,10/01/1999,,"(34.1859, -118.4312)"
0002101159-0001-8,MIJIN INTERNATIONAL INC,WHARO,4029 LINCOLN BLVD,MARINA DEL REY,4029 LINCOLN 90292-5613,,,,722110,Full-service restaurants,11,03/01/2006,,"(33.9862, -118.4438)"
0003059163-0001-3,TORRES JOSE NOE FLORINDA GARCIA,,12122   IDAHO AVENUE,LOS ANGELES,12122 IDAHO 90025-3654,,,,722110,Full-service restaurants,11,06/10/2018,,"(34.0381, -118.4615)"
0000129621-0001-3,PHILADELPHIA STEAK & HOAGIE CO,,6427 LANKERSHIM BLVD,N HOLLYWOOD,6427 LANKERSHIM 91606-2811,,,,722110,Full-service restaurants,2,05/26/1994,,"(34.1871, -118.3877)"
0000692835-0001-2,D & L PIZZA INC,DOMINO'S PIZZA,6805 SEPULVEDA BLVD,VAN NUYS,6805 SEPULVEDA 91405-4402,330 6TH STREET SUITE #103,REDLANDS,92374-3312,722110,Full-service restaurants,6,08/04/1988,,"(34.1939, -118.4661)"
0002605611-0001-4,SOKIA INC,SIN JUNG,3450 W 6TH STREET #101-A,LOS ANGELES,3450 6TH 90020-2566,3435 WILSHIRE BLVD #1040,LOS ANGELES,90010-1919,722110,Full-service restaurants,10,11/01/2011,,"(34.0635, -118.2966)"
0000195355-0033-1,PANDA EXPRESS INC,PANDA EXPRESS #1014 | PANDA EXPRESS @1014,17056 DEVONSHIRE STREET,NORTHRIDGE,17056 DEVONSHIRE 91325-1617,1683 WALNUT GROVE AVENUE,ROSEMEAD,91770-3711,722110,Full-service restaurants,12,10/31/2004,,"(34.2575, -118.5041)"
0002693719-0001-1,SUSHISTOP CORPORATION,SHABU SHABU HOUSE BY SUSHISTOP,2218 SAWTELLE BLVD,LOS ANGELES,2218 SAWTELLE 90064-1706,4200 CAMELLIA AVENUE,STUDIO CITY,91604-2936,722110,Full-service restaurants,11,09/01/2013,,"(34.0379, -118.441)"
0000810141-0001-6,"HAPPY RODEO, INC.",HAPPY TOMS BURGER,1807 W SUNSET BLVD,LOS ANGELES,1807 SUNSET 90026-3226,1304 LEMOYNE STREET #102,LOS ANGELES,90026-2541,722110,Full-service restaurants,13,07/15/1990,,"(34.0777, -118.2595)"
0000650625-0001-2,DELUXE FOODS LLC,PIT FIRE PIZZA CO,5211 LANKERSHIM BLVD,N HOLLYWOOD,5211 LANKERSHIM 91601-3110,1905 LINCOLN BLVD,VENICE,90291-3909,722110,Full-service restaurants,2,12/22/1997,,"(34.1652, -118.3748)"
0000089329-0001-8,JOANN LOVATO,LOVATO EVENTS,18728   BRYANT STREET   UNIT #3,NORTHRIDGE,18728 BRYANT 91324-5434,7625   RESEDA BLVD   UNIT #106,RESEDA,91335-7401,722110,Full-service restaurants,12,09/29/1993,,"(34.227, -118.5416)"
0002583438-0002-6,KURA SUSHI USA INC,KURA REVEOLVING SUSHI BAR | KURA REVOLVING SUSHI BAR,2130 SAWTELLE BLVD #111,LOS ANGELES,2130 SAWTELLE 90025-6268,17932 SKY PARK CIRCLE SUITE #H,IRVINE,92614-6468,722110,Full-service restaurants,11,08/29/2013,,"(34.0391, -118.442)"
0000197562-0006-5,"GUCKENHEIMER SERVICES, LLC",GUCKENHEIMER@GOOGLD SPRUCE GOOSE,5865 S CAMPUS CENTER DRIVE,LOS ANGELES,5865 CAMPUS CENTER 90094-2629,1850   GATEWAY DRIVE   SUITE #500,SAN MATEO,94404-4064,722110,Full-service restaurants,11,06/27/2018,,"(33.9773, -118.4092)"
0000983860-0001-8,LEVY PREMIUM FOOD SERVICE LP,LEVY RESTAURANTS AT STAPLES CENTER,1111 S FIGUEROA STREET,LOS ANGELES,1111 FIGUEROA 90015-1300,980 N MICHIGAN AVENUE #400,CHICAGO,60611-4518,722110,Full-service restaurants,14,10/15/1999,,"(34.0435, -118.2653)"
0000377699-0001-3,JOHN H/JUDY A BELONIS,L A GOURMET,2847 W SUNSET BLVD,LOS ANGELES,2847 SUNSET 90026-2125,4150 GARDEN AVENUE,LOS ANGELES,90039-1310,722110,Full-service restaurants,13,01/15/1982,,"(34.0825, -118.2727)"
0002705055-0001-3,WANPING LIU,HAPPY TUESDAY,1883 DALY STREET BUILDING #102,LOS ANGELES,1883 DALY 90031-3389,9030 FREMONT AVENUE,MONTCLAIR,91763-1503,722110,Full-service restaurants,1,06/10/2014,,"(34.0654, -118.2153)"
0002463282-0001-4,JOSE CORREA,DANTE'S CAFE,2745 BEVERLY BLVD,LOS ANGELES,2745 BEVERLY 90057-1007,,,,722110,Full-service restaurants,13,06/06/2009,,"(34.0703, -118.2788)"
0000834911-0001-2,NIE SAY INC,MC DONALDS RESTAURANT 5940,988 W SLAUSON AVENUE,LOS ANGELES,988 SLAUSON 90044-5527,201 E ROOSEVELT ROAD,LONG BEACH,90807-2609,722110,Full-service restaurants,9,10/01/1990,,"(33.9891, -118.2912)"
0000588047-0001-1,JESUS DEL RIO,EL RANCHITO,3401 S MAIN STREET,LOS ANGELES,3401 MAIN 90007-4413,,,,722110,Full-service restaurants,9,05/20/1987,,"(34.0186, -118.2726)"
0000748879-0001-2,TRYAN INC,SUBWAY 2431,750 VINE STREET,LOS ANGELES,750 VINE 90038-3723,31332 VIA COLINAS SUITE #102,WESTLAKE VILLAGE,91362-6772,722110,Full-service restaurants,13,09/06/1989,,"(34.0847, -118.3266)"
0002238465-0001-3,RAFAEL RAMOS / ANA RAMOS,SIMON'S BURGERS,830 E WASHINGTON BLVD UNIT #1-2,LOS ANGELES,830 WASHINGTON 90021-3066,,,,722110,Full-service restaurants,9,04/01/2007,,"(34.0263, -118.2545)"
0002458771-0001-7,VEES CAFE LLC,,5418 W ADAMS BLVD,LOS ANGELES,5418 ADAMS 90016-2604,,,,722110,Full-service restaurants,10,08/17/2009,,"(34.0324, -118.3611)"
0002243068-0001-4,MARWAHA FOODS INC,SUBWAY #24872,3991 S WESTERN AVENUE #3,LOS ANGELES,3991 WESTERN 90062-1120,2551 W WOODLAND DRIVE,ANAHEIM,92801-2608,722110,Full-service restaurants,8,04/02/2007,,"(34.0114, -118.3089)"
0002458771-0002-5,VEES CAFE LLC,VEES CAFE,2310 WHITTIER BLVD,LOS ANGELES,2310 WHITTIER 90023-1233,5418 W ADAMS BLVD,LOS ANGELES,90016-2604,722110,Full-service restaurants,14,03/01/2014,,"(34.0348, -118.2167)"
0000089156-0001-9,JOSE / HIDALIA AGUAYO,,8202 SAN FERNANDO ROAD,SUN VALLEY,8202 SAN FERNANDO 91352-3218,7496 FLINTLOCK COURT,HIGHLAND,92346-5818,722110,Full-service restaurants,2,10/15/1999,,"(34.2194, -118.3687)"
0000947087-0001-5,G M SIRENITA INC,L A SIRENITA,7940 VAN NUYS BLVD,VAN NUYS,7940 VAN NUYS 91402-6084,9116 VAN NUYS BLVD,PANORAMA CITY,91402-1418,722110,Full-service restaurants,6,01/15/1999,,"(34.2153, -118.4487)"
0000195355-0017-0,PANDA EXPRESS INC,PANDA EXPRESS #304,630 W 5TH STREET,LOS ANGELES,630 5TH 90071-2002,1683 WALNUT GROVE AVENUE,ROSEMEAD,91770-3711,722110,Full-service restaurants,14,02/07/1996,,"(34.0504, -118.2542)"
0002468403-0001-2,CHING EXPRESS INC,DEWY FLOWERS,6333 W 3RD STREET UNIT #624-P,LOS ANGELES,6333 3RD 90036-3176,,,,722110,Full-service restaurants,4,10/19/2009,,"(34.0713, -118.36)"
0000457083-0001-6,KEVIN T MCCARNEY ET AL,POQUITO MAS WEST LA,2215 WESTWOOD BLVD,LOS ANGELES,2215 WESTWOOD 90064-2098,POST OFFICE BOX #2309,N HOLLYWOOD,91610-0309,722110,Full-service restaurants,5,02/16/1998,,"(34.0435, -118.4314)"
0000713844-0001-3,JUAN ANTONIO,OAXACALIFORNIA,3655 S GRAND AVENUE #C8,LOS ANGELES,3655 GRAND 90007-4367,2618 CARMONA AVENUE,LOS ANGELES,90016-2512,722110,Full-service restaurants,9,01/01/2003,,"(34.013, -118.2806)"
0000429067-0004-7,SOOD ENTERPRISES INC,JACK IN THE BOX #314,6551 LANKERSHIM BLVD,N HOLLYWOOD,6551 LANKERSHIM 91606-2408,4917 GENESTA AVENUE,ENCINO,91316-3438,722110,Full-service restaurants,2,05/01/1984,,"(34.1895, -118.3877)"
0000607275-0001-7,SAN FRANCISCO C&C,MELS DRIVE-IN #7,1650 N HIGHLAND AVENUE,LOS ANGELES,1650 HIGHLAND 90028-6121,,,,722110,Full-service restaurants,13,11/06/2001,,"(34.1005, -118.3386)"
0002114551-0020-9,WOLFGANG PUCK CATERING AND EVENTS LLC,,800 W OLYMPIC BLVD   SUITE #180,LOS ANGELES,800 OLYMPIC 90015-1364,818 W 7TH STREET   SUITE #900,LOS ANGELES,90017-3432,722110,Full-service restaurants,14,03/01/2018,,"(34.0449, -118.264)"
0000250151-0001-2,FOUR N 20 RESTAURANTS INC,,5530 VAN NUYS BLVD,SHERMAN OAKS,5530 VAN NUYS 91401-5127,POST OFFICE BOX #5336,CHATSWORTH,91313-5336,722110,Full-service restaurants,4,08/10/1979,,"(34.1711, -118.4486)"
0000195355-0043-9,PANDA EXPRESS INC,PANDA EXPRESS #1706,8231 FOOTHILL BLVD,SUNLAND,8231 FOOTHILL 91040-2807,1683 WALNUT GROVE AVENUE,ROSEMEAD,91770-3711,722110,Full-service restaurants,7,04/01/2009,,"(34.2596, -118.3122)"
0002507921-0001-1,SIMPLETHINGS 3RD ST LLC,SIMPLETHINGS SANDWICH & PIE SHOP,8310 W 3RD STREET,LOS ANGELES,8310 3RD 90048-4311,8310 W 3RD STREET,LOS ANGELES,90048-4311,722110,Full-service restaurants,5,06/15/2010,,"(34.0726, -118.3702)"
0000635863-0001-8,MARTIGUES CORP,MISTRAL BRASSERIE,13422 VENTURA BLVD,SHERMAN OAKS,13422 VENTURA 91423-3914,,,,722110,Full-service restaurants,4,03/13/1988,,"(34.1471, -118.4257)"
0000013764-0001-4,LA PIZZA LOCA INC #36,,252 E MARTIN LUTHER KING JR BLVD,LOS ANGELES,252 MARTIN LUTHER KING JR 90011-2651,9550 FIRESTONE BLVD SUITE #105,DOWNEY,90241-5560,722110,Full-service restaurants,9,02/29/2000,,"(34.0111, -118.2697)"
0002059034-0001-4,TROPICALIA INC,TROPICALIA - VINOTECA,1966 HILLHURST AVENUE,LOS ANGELES,1966 HILLHURST 90027-2722,,,,722110,Full-service restaurants,4,09/01/2005,,"(34.1071, -118.2874)"
0002610051-0001-0,HUMBLE POTATO LLC,HUMBLE POTATO,8321 LINCOLN BLVD,LOS ANGELES,8321 LINCOLN 90045-2413,,,,722110,Full-service restaurants,11,04/10/2012,,"(33.9622, -118.4213)"
0000035225-0001-1,NOEMI FLORES,,250 E AVENUE P2,PALMDALE,250 AVENUE P2 93550-3227,,,,722110,Full-service restaurants,0,11/01/2003,,"(34.5996, -118.1268)"
0000391938-0001-1,EFCM INC,GOLDEN CITY CHINESE CUISINE,17719 VANOWEN STREET,RESEDA,17719 VANOWEN 91335-5602,,,,722110,Full-service restaurants,3,02/01/2004,,"(34.1938, -118.5192)"
0003129565-0001-1,NORTHERN SIAM LLC,KHAO SOI THAI,12215   VENTURA BLVD      #112,STUDIO CITY,12215 VENTURA 91604-2533,,,,722110,Full-service restaurants,2,07/01/2019,,"(34.1439, -118.399)"
0000963919-0001-6,CKE RESTAURANT VENTURES LLC,RESTAURANT HAMASAKU,11043 SANTA MONICA BLVD,LOS ANGELES,11043 SANTA MONICA 90025-3523,1234 BENEDICT CANYON DRIVE,BEVERLY HILLS,90210-2728,722110,Full-service restaurants,5,06/30/1999,,"(34.0481, -118.4428)"
0000705752-0004-2,SCO LLC,SHAKEYS PIZZA #5,2023 E CESAR E CHAVEZ AVENUE UNIT #5,LOS ANGELES,2023 CESAR E CHAVEZ 90033-1723,2200 W VALLEY BLVD,ALHAMBRA,91803-1928,722110,Full-service restaurants,14,03/01/1969,,"(34.0487, -118.2122)"
0002853216-0001-2,KEUNG JAE LEE,YETGOL RESTAURANT,1144 S WESTERN AVENUE #105,LOS ANGELES,1144 WESTERN 90006-2378,,,,722110,Full-service restaurants,10,09/08/2015,,"(34.0495, -118.309)"
0003067354-0001-2,VALENTINS RESTAURANT INC.,,429 E 11TH STREET,LOS ANGELES,429 11TH 90015,,,,722110,Full-service restaurants,14,08/01/2018,,"(34.0369, -118.2543)"
0000050372-0002-8,MKS ENTERPRISES INC.,SUBWAY SANDWICHES #28223,9040 SEPULVEDA BLVD #F2,NORTH HILLS,9040 SEPULVEDA 91343-4308,13559 ROSCOE BLVD,PANORAMA CITY,91402-5500,722110,Full-service restaurants,7,09/01/2005,,"(34.2343, -118.4674)"
